,day,agg_lineitem_unblendedcost,agg_lineitem_usageamount,agg_lineitem_blendedcost,agg_pricing_publicondemandcost,agg_reservation_effectivecost,agg_reservation_amortizedupfrontfeeforbillingperiod,agg_reservation_amortizedupfrontcostforusage,agg_reservation_unusedamortizedupfrontfeeforbillingperiod,agg_reservation_unusednormalizedunitquantity,agg_reservation_recurringfeeforusage,agg_reservation_totalreservednormalizedunits,agg_reservation_unusedquantity,agg_reservation_unusedrecurringfee,agg_savingsplan_unusedamortizedupfrontcommitmentforbillingperiod,agg_savingsplan_totalcommitmenttodate,agg_savingsplan_savingsplaneffectivecost,agg_savingsplan_recurringcommitmentforbillingperiod,agg_savingsplan_amortizedcostforusage,agg_savingsplan_amortizedupfrontcommitmentforbillingperiod,bill_billingentity,bill_payeraccountid,lineitem_lineitemdescription,lineitem_lineitemtype,lineitem_operation,lineitem_usageaccountid,pricing_term,lineitem_usagetype,pricing_unit,pricing_purchaseoption,pricing_offeringclass,product_fromlocation,product_category,product_instancetype,product_instancefamily,product_operatingsystem,product_productfamily,product_productname,product_region,product_tolocation,reservation_endtime,reservation_starttime,reservation_reservationarn,reservation_modificationstatus,reservation_subscriptionid,savingsplan_endtime,savingsplan_starttime,savingsplan_savingsplanarn,savingsplan_region,savingsplan_purchaseterm,savingsplan_purchaseoption,savingsplan_paymentoption,savingsplan_instancetypefamily,reservation_duration,labels
54,2022-01-01,-3.8271999999999986,46.0,-3.8271999999999986,0.0,,,,,,,,,,,,,,,,AWS,116462199383,SavingsPlanNegation used by AccountId : 636886484367 and UsageSku : GY4EP95U8PKCRZ58,SavingsPlanNegation,RunInstances,636886484367,OnDemand,USE2-BoxUsage:t3.large,Hrs,,,,,t3.large,General purpose,Linux,Compute Instance,Amazon Elastic Compute Cloud,us-east-2,,,,,,,2022-12-06T00:15:59.000Z,2019-12-07T00:16:00.000Z,arn:aws:savingsplans::116462199383:savingsplan/1befbaa5-32d2-4a67-abd1-a9b1b87c0754,Any,3yr,PartialUpfront,Partial Upfront,,,1
56,2022-01-01,-8.8084523114,4.36927198,-8.8084523114,0.0,,,,,,,,,,,,,,,,AWS,116462199383,SavingsPlanNegation used by AccountId : 565541806941 and UsageSku : P4P583X6BJDDEQX3,SavingsPlanNegation,RunInstances,5655418126941,OnDemand,USW2-BoxUsage:r5.8xlarge,Hrs,,,,,r5.8xlarge,Memory optimized,Linux,Compute Instance,Amazon Elastic Compute Cloud,us-west-2,,,,,,,2024-09-19T17:37:01.000Z,2021-09-20T17:37:02.000Z,arn:aws:savingsplans::116462199383:savingsplan/69d6bee1-9aef-4f9e-9c8b-3330069f1201,Any,3yr,NoUpfront,No Upfront,,,1
60,2022-01-01,2.20751e-05,0.998875,2.20751e-05,2.20751e-05,,,,,,,,,,,,1.98676e-05,,0.0,,AWS,116462199383,USD2.21195E-05 per seconds for Lambda-GB-Second in Africa (Cape Town),SavingsPlanCoveredUsage,Invoke,3717776120751,OnDemand,AFS1-Lambda-GB-Second,seconds,,,,,,,,Serverless,AWS Lambda,af-south-1,,,,,,,2024-11-23T22:25:34.000Z,2021-11-24T22:25:35.000Z,arn:aws:savingsplans::116462199383:savingsplan/17e04504-aaf4-44fa-a436-98e562675772,Any,3yr,NoUpfront,No Upfront,,,1
62,2022-01-01,-2.0000000000000002e-07,1.0,-2.0000000000000002e-07,0.0,,,,,,,,,,,,,,,,AWS,116462199383,SavingsPlanNegation used by AccountId : 462822702205 and UsageSku : GU2ZS9HVP6QTQ7KE,SavingsPlanNegation,Invoke,4628227122205,OnDemand,Request,Requests,,,,,,,,Serverless,AWS Lambda,us-east-1,,,,,,,2024-11-29T13:09:26.000Z,2021-11-30T13:09:27.000Z,arn:aws:savingsplans::116462199383:savingsplan/371cbc1c-1e71-4dbe-9b09-7e18cac310b7,Any,3yr,NoUpfront,No Upfront,,,1
128,2022-01-01,-2.0000000000000002e-07,1.0,-2.0000000000000002e-07,0.0,,,,,,,,,,,,,,,,AWS,116462199383,SavingsPlanNegation used by AccountId : 607853614323 and UsageSku : KERWZD8CJ22SEZWT,SavingsPlanNegation,Invoke,6127853614323,OnDemand,EUN1-Request,Requests,,,,,,,,Serverless,AWS Lambda,eu-north-1,,,,,,,2024-12-14T18:46:21.000Z,2021-12-15T18:46:22.000Z,arn:aws:savingsplans::116462199383:savingsplan/bde60d73-a966-4281-9d90-5373eadb4e54,Any,3yr,NoUpfront,No Upfront,,,1
133,2022-01-01,4.0000000000000003e-07,2.0,4.0000000000000003e-07,4.0000000000000003e-07,,,,,,,,,,,,4.0000000000000003e-07,,0.0,,AWS,116462199383,AWS Lambda - Total Requests - US West (Oregon),SavingsPlanCoveredUsage,Invoke,9171212352562,OnDemand,USW2-Request,Requests,,,,,,,,Serverless,AWS Lambda,us-west-2,,,,,,,2024-11-23T22:25:34.000Z,2021-11-24T22:25:35.000Z,arn:aws:savingsplans::116462199383:savingsplan/17e04504-aaf4-44fa-a436-98e562675772,Any,3yr,NoUpfront,No Upfront,,,1
145,2022-01-01,9.8709e-06,0.59225,9.8709e-06,9.8709e-06,,,,,,,,,,,,8.706099999999998e-06,,0.0,,AWS,116462199383,AWS Lambda - Total Compute - Canada (Central),SavingsPlanCoveredUsage,Invoke,8128682851023,OnDemand,CAN1-Lambda-GB-Second,Lambda-GB-Second,,,,,,,,Serverless,AWS Lambda,ca-central-1,,,,,,,2024-11-21T04:21:54.000Z,2021-11-22T04:21:55.000Z,arn:aws:savingsplans::116462199383:savingsplan/d7738762-ab10-4d7b-a691-e0f451150131,Any,3yr,NoUpfront,No Upfront,,,1
168,2022-01-01,2.0000000000000002e-07,1.0,2.0000000000000002e-07,2.0000000000000002e-07,,,,,,,,,,,,2.0000000000000002e-07,,0.0,,AWS,116462199383,AWS Lambda - Total Requests - EU (Frankfurt),SavingsPlanCoveredUsage,Invoke,6481312359314,OnDemand,EUC1-Request,Request,,,,,,,,Serverless,AWS Lambda,eu-central-1,,,,,,,2024-11-23T22:25:34.000Z,2021-11-24T22:25:35.000Z,arn:aws:savingsplans::116462199383:savingsplan/17e04504-aaf4-44fa-a436-98e562675772,Any,3yr,NoUpfront,No Upfront,,,1
177,2022-01-01,2.0000000000000002e-07,1.0,2.0000000000000002e-07,2.0000000000000002e-07,,,,,,,,,,,,2.0000000000000002e-07,,0.0,,AWS,116462199383,AWS Lambda - Total Requests - US East (Northern Virginia),SavingsPlanCoveredUsage,Invoke,937821977975,OnDemand,Request,Requests,,,,,,,,Serverless,AWS Lambda,us-east-1,,,,,,,2024-11-23T22:25:34.000Z,2021-11-24T22:25:35.000Z,arn:aws:savingsplans::116462199383:savingsplan/17e04504-aaf4-44fa-a436-98e562675772,Any,3yr,NoUpfront,No Upfront,,,1
178,2022-01-01,2.0000000000000002e-07,1.0,2.0000000000000002e-07,2.0000000000000002e-07,,,,,,,,,,,,2.0000000000000002e-07,,0.0,,AWS,116462199383,AWS Lambda - Total Requests - US East (Northern Virginia),SavingsPlanCoveredUsage,Invoke,6112070429775,OnDemand,Request,Requests,,,,,,,,Serverless,AWS Lambda,us-east-1,,,,,,,2024-11-29T13:09:26.000Z,2021-11-30T13:09:27.000Z,arn:aws:savingsplans::116462199383:savingsplan/371cbc1c-1e71-4dbe-9b09-7e18cac310b7,Any,3yr,NoUpfront,No Upfront,,,1
